RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	相对重心	变差方差根	平均中位数	平均斜率	标签
0.349	0.379	0.2	0.109	0.474	0.27	0.071	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.368	0.399	0.199	0.108	0.483	0.27	0.11	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.381	0.413	0.198	0.104	0.488	0.27	0.134	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.412	0.445	0.202	0.088	0.497	0.27	0.17	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.427	0.461	0.208	0.08	0.501	0.27	0.177	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.449	0.483	0.216	0.073	0.501	0.27	0.167	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.462	0.496	0.216	0.081	0.496	0.27	0.141	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.464	0.498	0.221	0.088	0.49	0.27	0.132	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.462	0.494	0.226	0.101	0.48	0.269	0.127	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.449	0.479	0.231	0.106	0.476	0.269	0.132	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.442	0.47	0.236	0.103	0.476	0.269	0.134	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.431	0.457	0.236	0.091	0.48	0.269	0.123	0.43391879	0.045125393	0.129192308	-0.066813187	5
0.426	0.449	0.239	0.076	0.487	0.269	0.089	0.43391879	0.045125393	0.129192308	-0.066813187	5
